# Nomenclature CCAM consolidée à partir de trois sources officielles : (1) chapitres 1 à 19 de la CCAM descriptive publiés par l'ATIH (https://www.atih.sante.fr/sites/default/files/public/content/1621/Chapitre_N.pdf) ; (2) jeu de données « CCAM Ameli » (data.gouv.fr / InterHop : actes tarifés en libéral) ; (3) libellés abrégés des listes d'actes du Manuel des GHM 2025. Union des actes : un acte absent d'une source reste présent si une autre le porte.
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Les libellés sont repris verbatim de la source indiquée (source_libelle) : la casse diffère donc selon la source.
# chapitre_ccam : 1 à 19 ; 18 = gestes complémentaires et d'anesthésie, 19 = adaptations pour la CCAM transitoire (forfaits).
code;libelle;source_libelle;chapitre_ccam;dans_ameli;dans_atih;dans_annexe8
ABFA004;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA005;Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA006;Exérèse de lésion du quatrième ventricule, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA007;Exérèse d'une fistule dermique avec prolongement intradural occipital;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA008;Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA009;Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA010;exérèse de tumeur de la faux du cerveau, par craniotomie;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ABFC001;Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFC002;Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABGA001;Ablation d'un capteur de pression intracrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABGA002;Ablation d'une dérivation interne du liquide cérébrospinal intracrânien, par abord direct;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABGA003;Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABHB001;Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABHB002;Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABJA001;Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABJA002;Évacuation d'un hématome subdural aigu, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABJA003;évacuation d'un hématome subdural chronique unilatéral, par craniotomie;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ABJA004;Évacuation d'un hématome extradural infratentoriel, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABJA005;Évacuation d'un hématome extradural supratentoriel, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABJA006;Évacuation d'un hématome subdural chronique bilatéral, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
