# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
ABLB001;01C03 01C04 01C11 01C12 21C05;01 21;non;POSE CATHÉ. VENTR. CÉRÉB. TRANSCRÂN +P.I.C. +TESTS
ABLB002;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;POSE 1CAPTEUR VENTR. P.I.C TRANSCRÂN.
ABLB003;01C03 01C04 01C11 01C12 21C05;01 21;non;POSE 1CAPTEUR EXTRAVENTR. P.I.C TRANSCRÂN.
ABMA002;01C08 17C06 21C05;01 17 21;non;RÉVISION/CHANGT ÉLMT 1DÉRIV. INT. LCS AB. DIRECT
ABMA003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;RÉVISION/CHANGT ÉLMT 1DÉRIV. INT. LCS CRANIOT.
ABSA001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;FERM. 1BRÈCHE OSTÉODURALE ÉTAGE MOY. BASE CRANIOT.
ABSA002;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C07 21C05;01 03 17 21;non;FERM. 1BRÈCHE OSTÉODURALE ÉTAGE MOY. BASE AB.
ABSA003;01C03 01C04 01C11 01C12 03C06 03C07 17C06 21C05;01 03 17 21;non;FERM. 1BRÈCHE OSTÉODURALE SINUS FRONTAL AB. CORONAL
ABSA004;01C03 01C04 01C11 01C12 03C16 03C17 03C29 21C05;01 03 21;non;FERM. 1BRÈCHE OSTÉODURALE ÉTAGE MOY. BASE AB. AB
ABSA005;01C03 01C04 01C11 01C12 02C03 03C16 03C17 03C29 17C07 21C05;01 02 03 17 21;non;FERM. 1BRÈCHE OSTÉODURALE/1MÉNINGOCÈLE ÉTAGE ANT.
ABSA006;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06 21C05;01 03 17 21;non;FERM. 1BRÈCHE OSTÉODURALE ÉTAGE MOY. BASE AB.
ABSA007;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;FERM. 1BRÈCHE OSTÉODURALE/1MÉNINGOCÈLE ÉTAGE ANT.
ABSA008;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;FERM. 1FISTULE POSTOP LCS BASE
ABSA009;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;FERM. 1FISTULE LCS/1MÉNINGOCÈLE POSTOP VOÛTE CRANIOT.
ABSA010;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;FERM. 1BRÈCHE OSTÉODURALE/1MÉNINGOCÈLE ÉTAGE ANT.
ABSA011;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;FERM. BRÈCHE OSTÉODURAL/MÉNINGOCÈLE ANT. BASE AB.
ABSA012;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;FERM. 1BRÈCHE OSTÉODURALE/1MÉNINGOCÈLE ÉTAGE ANT.
ACFA001;01C03 01C04 01C11 01C12 02C03 03C16 03C17 03C29 08C21 08C61 17C06;01 02 03 08 17;non;EXÉRÈSE T. ÉTAGE ANT. BASE CRANIOT. FRONTALE UNILAT.
ACFA002;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T.CONVEXITÉ SANS ATTEINTE SINUS VN DURAL
ACFA003;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 17C06;01 03 08 17;non;EXÉRÈSE T. POINTE ROCHER AB. LABYRINTH.
ACFA004;01C03 01C04 01C11 01C12 08C21 08C61 17C06;01 08 17;non;EXÉRÈSE T. CLIVUS CRANIOT.
ACFA005;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;EXÉRÈSE T. ANGLE PONTOCÉRÉBELLEUX +/- MÉAT ACOUSTIQUE
ACFA006;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 08C61 17C07;01 03 08 17;non;EXÉRÈSE T. POINTE ROCHER SANS DÉROUTM NF FACIAL AB.
ACFA007;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;EXÉRÈSE T. ANGLE PC/MÉAT CAI AB. LABYRINTH.
ACFA008;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T.CONVEXITÉ CÉRÉBEL. SANS ATTEINTE SINUS VN
ACFA009;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 08C61 17C06;01 03 08 17;non;EXÉRÈSE T. POINTE ROCHER AB. SUPRAPÉTREUX
ACFA010;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;EXÉRÈSE T. ANGLE PC/MÉAT CAI AB. RÉTROSIGM.
ACFA011;01C03 01C04 01C11 01C12 08C21 08C61 17C06;01 08 17;non;EXÉRÈSE T. ÉTAGE MOY. BASE CRANIOT.
ACFA012;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;EXÉRÈSE T. ANGLE PC/MÉAT CAI AB. SUPRAPÉTREUX
ACFA013;01C03 01C04 01C11 01C12 08C21 08C61 17C06;01 08 17;non;EXÉRÈSE T. 1/3INT. ÉTAGE MOY. BASE ANGLE SPHÉNOORBIT.
ACFA014;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;EXÉRÈSE T. ANGLE PONTOCÉRÉBELLEUX +/- MÉAT ACOUSTIQUE
ACFA015;01C03 01C04 01C11 01C12 02C03 03C16 03C17 03C29 08C21 08C61 17C06;01 02 03 08 17;non;EXÉRÈSE T. ÉTAGE ANT. BASE CRANIOT. FRONTALE BILAT.
ACFA016;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 17C06;01 03 08 17;non;EXÉRÈSE T. RÉGION PÉTROCLIVALE SANS DÉROUTM NF FACIAL
ACFA018;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T.CONVEXITÉ CÉRÉBEL. ENVAHISSANT 1SINUS VN
ACFA019;01C03 01C04 01C11 01C12 08C21 17C06;01 08 17;non;EXÉRÈSE T. FORAMEN MAGNUM +DÉROUTM ART. VERTÉB.
ACFA020;01C03 01C04 01C11 01C12 08C21 08C61 17C06;01 08 17;non;EXÉRÈSE T. CLIVUS AB. TRANSBUCCAL/NASOSPHÉNOÏDAL
ACFA022;01C03 01C04 01C11 01C12 10C02 17C06;01 10 17;non;EXÉRÈSE T. RÉGION OPTOCHIASMATIQUE +/- HYPOTHAL.
ACFA023;01C03 01C04 01C11 01C12 08C21 17C06;01 08 17;non;EXÉRÈSE T. FORAMEN JUG. CRANIOT.
ACFA024;01C03 01C04 01C11 01C12 08C21 17C06;01 08 17;non;EXÉRÈSE T. FORAMEN MAGNUM SANS DÉROUTM ART. VERTÉB.
ACFA025;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 17C06;01 03 08 17;non;EXÉRÈSE T. RÉGION PÉTROCLIVALE +DÉROUTM NF FACIAL AB.
ACFA026;01C03 01C04 01C11 01C12 02C03 03C16 03C17 03C29 08C21 08C61 17C06;01 02 03 08 17;non;EXÉRÈSE T. ÉTAGE ANT. BASE CRANIOT. FRONTALE BILAT. +AB.
