# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
HHFA022;06C04 17C06 21C05;06 17 21;non;COLECTOMIE TOT. SF RECTUM +ANAST. ILÉORECT. LAPARO
HHFA023;06C04 17C06 21C05;06 17 21;non;COLECTOMIE TRANSV. COELIO/LAPARO +PRÉPA COELIO
HHFA024;06C04 15C02 17C06 21C05;06 17 21;non;COLECTOMIE GCHE +LIBÉRATION ACG SANS RÉTABL.
HHFA025;06C08 06C09 17C07;06 17;non;APPENDICECT. +TOILETTE PÉRIT PÉRITONITE COELIO/LAPARO
HHFA026;06C04 17C06 21C05;06 17 21;non;COLECTOMIE DTE SANS RÉTABL. CONTINUITÉ LAPARO
HHFA027;06C07 13C04 17C06;06 13 17;non;RÉSEC. CPLT PROLAPSUS COLORECTAL EXTÉRIORISÉ
HHFA028;06C03 17C06 21C05;06 17 21;non;COLOPROCTECT. TOT. +ANAST. ILÉOANALE
HHFA029;06C03 17C06 21C05;06 17 21;non;COLOPROCTECT. TOT. SANS RÉTABL. CONTINUITÉ
HHFA030;06C03 17C06 21C05;06 17 21;non;COLOPROCTECT. TOT. SANS RÉTABL. CONTINUITÉ LAPARO
HHFA031;06C03 17C06 21C05;06 17 21;non;COLOPROCTECT. TOT. +ANAST. ILÉOANALE LAPARO
HHFC001;06C07;06;non;POLYPECTOM. CÔLON COLO. +CTRL COELIO.
HHFC040;06C04 17C06 21C05;06 17 21;non;COLECTOMIE GCHE SANS LIBÉR. ACG SANS RÉTABL.
HHFC296;06C04 17C06 21C05;06 17 21;non;COLECTOMIE DTE SANS RÉTABL. CONTINUITÉ COELIO.
HHFE001;06K02 06K03;06;non;EXÉRÈSE 1À 3POLYPES <1CM CÔLON +/- RECTUM COLO
HHFE002;06K02 06K03;06;non;EXÉRÈSE 1À 3POLYPES <1CM CÔLON +/- RECTUM COLO. TOT.
HHFE004;06K02 06K03;06;non;EXÉRÈSE 1POLYPE >1CM/4POLYPES CÔLON +/- RECTUM COLO.
HHFE005;06K02 06K03;06;non;EXÉRÈSE 1POLYPE >1CM/4POLYPES CÔLON +/- RECTUM COLO
HHFE006;06K02 06K03;06;non;SÉANCE MUCOSECTOMIE COLORECT. ENDOS.
HHGE010;06K02 06K03;06;non;ABLATION ENDOPROTH. CÔLON COLO
HHJE001;06K02 06K03;06;non;EXSUFFLATION CÔLON ENDOS.
HHLE005;06K02 06K03;06;non;ENDOPROTH. CÔLON COLO
HHMA002;06C23 17C07 21C05;06 17 21;non;RÉFECTION STOMIE CUT. INTEST. LAPARO
HHMA003;06C04 15C02 17C06 21C05;06 17 21;non;RÉTABL. IIRE CONTINUITÉ DIG. APRÈS COLECTOMIE
HHMC001;06C04 17C06 21C05;06 17 21;non;RÉTABL. IIRE CONTINUITÉ DIG. APRÈS COLECTOMIE
HHMC005;06C23 17C07 21C05;06 17 21;non;RÉFECTION STOMIE CUT. INTEST. COELIO
HHNE001;06K02 06K03;06;non;DESTRUC. CÔLON +/- RECTUM SANS LASER COLO. TOT.
HHNE002;06K02 06K03;06;non;DESTRUC. CÔLON +/- RECTUM LASER COLO. TOT.
HHNE003;06K02 06K03;06;non;DESTRUC. CÔLON +/- RECTUM LASER COLO
HHNE004;06K02 06K03;06;non;DESTRUC. CÔLON +/- RECTUM SANS LASER COLO
HHPA001;06C07 17C06 21C05;06 17 21;non;COLOTOMIE THÉRAP. LAPARO
HHPA002;06C07 17C06 21C05;06 17 21;non;COLOTOMIE EXPLO. LAPARO
HHPC001;06C07 17C07 21C05;06 17 21;non;COLOTOMIE EXPLO. COELIO.
HHPC002;06C07 17C07 21C05;06 17 21;non;COLOTOMIE THÉRAP. COELIO.
HHQE002;06K04 06K05;06;non;COLO. TOT. +FRANCHISSEMENT ORIFICE ILÉOCOLIQUE
HHQE003;06K04 06K05;06;non;EXPLO. CPLT CÔLON APRÈS COLECTOMIE DTE ENDOS.
HHQE004;06K04 06K05;06;non;COLO AU DELÀ CÔLON SIGMOÏDE
HHQE005;06K04 06K05;06;non;COLO. TOT. +BAS-FOND CAECAL SANS FRANCHISST
HHQJ002;06K04 06K05;06;non;ÉCHOENDOS COL. SANS BIOPSIE
HHSA001;06C07 15C02 17C06 21C05;06 17 21;non;FERM. COLOSTOMIE CUT. LAT. AB. DIRECT
HHSE001;06K02 06K03;06;non;HÉMOSTASE CÔLON LASER COLO
HHSE002;06K02 06K03;06;non;HÉMOSTASE CÔLON SANS LASER COLO. TOT.
HHSE003;06K02 06K03;06;non;HÉMOSTASE CÔLON LASER COLO. TOT.
HHSE004;06K02 06K03;06;non;HÉMOSTASE CÔLON SANS LASER COLO
HJBA001;06C14 17C07;06 17;non;PLICATURE PAROI ANT. RECTUM AB PÉRINÉ
HJCA001;06C14 17C06 21C05;06 17 21;non;SUTURE RECTUM LAPARO
HJCC001;06C14 17C06 21C05;06 17 21;non;SUTURE RECTUM COELIO.
HJCD001;06C14 17C07;06 17;oui;SUTURE RECTUM V.ANALE +RÉPAR. SPHINCT. ANUS
HJCD002;06C14;06;oui;SUTURE RECTUM V.ANALE SANS RÉPAR. SPHINCT. ANUS
HJDA001;06C07 13C04 17C06;06 13 17;non;RECTOPEXIE LAPARO
HJDC001;06C07 13C04 17C07;06 13 17;non;RECTOPEXIE COELIO.
HJEA001;06C04 17C06;06 17;non;RECTOPEXIE +PLASTIE VÉS.VAG PR MALF. ANORECT. HTE
HJEA002;06C04 17C06;06 17;non;RECTOPEXIE PR MALF. ANORECT. HTE/INTERM. AB
HJEA003;06C04 17C06;06 17;non;RECTOPEXIE PR MALF. ANORECT. HTE LAPARO +AB PÉRINÉ
HJEA004;06C04 17C06;06 17;non;RECTOPEXIE PR MALF. ANORECT. HTE/INTERM. AB PÉRINÉ
HJFA001;06C03 15C02 17C06 21C05;06 17 21;non;RÉSEC COLORECT+ABAISST COL. RÉTRORECTAL LAPARO
HJFA002;06C03 17C06 21C05;06 17 21;non;RÉSEC. RECT.SIG +ANAST. INFRAPÉRIT LAPARO
HJFA003;06C14;06;non;EXÉRÈSE T. RECTUM AB TRANSANAL
HJFA004;06C03 17C06 21C05;06 17 21;non;RÉSEC. RECT.SIG +ANAST. INFRAPÉRIT COELIO/LAPARO
HJFA005;06C03 17C06 21C05;06 17 21;non;AMPUT. RECTUM AB PÉRINÉ
HJFA006;06C03 15C02 17C06 21C05;06 17 21;non;RÉSEC. RECT.SIG LAPARO +ANAST. V.ANALE/AB
HJFA007;06C03 17C06 21C05;06 17 21;non;AMPUT. RECTUM LAPARO +AB PÉRINÉ
HJFA008;06C07 13C04 17C07;06 13 17;non;RÉSEC. MUQ. 1PROLAPSUS RECTAL +PLICATURE AB PÉRINÉ
HJFA009;06C07 13C04 17C07;06 13 17;non;RÉSEC. MUQ. 1PROLAPSUS RECTAL +PLICATURE +RÉDUC. AB
HJFA010;06C04 17C06;06 17;non;EXÉRÈSE DUPLICATION RECTUM AB SACRÉ
HJFA011;06C03 17C06 21C05;06 17 21;non;RÉSEC. RECT.SIG DÉPASSANT DOUGLAS SANS RÉTABL.
HJFA012;06C03 17C06 21C05;06 17 21;non;PROCTECTOMIE IIRE LAPARO+ANAST ILÉOANAL
HJFA013;06C07 13C08 17C07 21C05;06 13 17 21;non;RÉSEC. FISTULE RECT.VAG ACQUISE+SUTURE MUSC+LAMBEAU
HJFA014;06C03 17C06 21C05;06 17 21;non;EXÉRÈSE MOIGNON RECTAL RÉSIDUEL AB PÉRINÉ
HJFA015;06C04 17C06;06 17;non;RÉSEC. COLORECT. TOT. PR AGGLIONOSE LAPARO
HJFA016;06C04 17C06;06 17;non;RÉSEC. COLORECT. PART. PR AGGLIONOSE LAPARO
HJFA017;06C03 17C06 21C05;06 17 21;non;RÉSEC. RECT.SIG COELIO/LAPARO +PRÉPA. COELIO. +ANAST.
HJFA018;06C14 17C06;06 17;non;EXÉRÈSE T. RECTUM AB SACRÉ
HJFA019;06C03 17C06 21C05;06 17 21;non;AMPUT. RECTUM COELIO/LAPARO +PRÉPA. COELIO. +AB PÉRINÉ
HJFA020;06C04 17C06;06 17;non;RÉSEC. RECT.SIG PR AGGLIONOSE LAPARO +ANAST.
HJFC001;06C04 17C06;06 17;non;RÉSEC. COLORECT. PART. PR AGGLIONOSE COELIO.
HJFC002;06C04 17C06;06 17;non;RÉSEC. RECT.SIG PR AGGLIONOSE COELIO. +ANAST.
HJFC003;06C04 17C07;06 17;non;RÉSEC. COLORECT. TOT. PR AGGLIONOSE COELIO.
HJFC023;06C03 17C06 21C05;06 17 21;non;PROCTECTOMIE IIRE COELIO+ANAST ILÉOANAL V.TRANSAN.
HJFC031;06C03 17C06 21C05;06 17 21;non;RÉSEC. RECT.SIG DÉPASSANT DOUGLAS SANS RÉTABL.
HJFD001;06C14 13C04;06 13;non;RÉSEC. MUQ. RECTALE +PLICATURE ANT V.ANALE
HJFD002;06C14 17C07;06 17;non;EXÉRÈSE T. RECTUM V.ANALE
HJFD003;06C04 17C06;06 17;non;RÉSEC. RECT.SIG PR AGGLIONOSE +ANAST. V.ANALE
HJFD004;06C14 13C04;06 13;non;RÉSEC. MUQ. RECTALE +PLICATURE ANT V.ANALE
HJFD005;06C19 13C04;06 13;non;RÉSEC. MUQ. RECTALE +PLICATURE ANT V.ANALE
HJFE429;06K02 06K03;06;non;DISSECTION SOUSMUQUEUSE DE LÉSION DU RECTUM, PAR
HJJA001;06C07 13C08 21C05;06 13 21;non;DRAINAGE 1FISTULE RECT.VAG ACQUISE
HJMA001;06C14 09C08 09C13 09C25 17C06;06 09 17;non;ANOPLASTIE PR MALF. ANORECT. BASSE
HJMA002;06C14 13C08 17C07 21C05;06 13 17 21;non;RECONSTR. PAROI RECTO-VAG +SPHINCTÉROPLASTIE
HJND001;06C14;06;oui;DESTRUC. LÉS. RECTUM V.ANALE
HJPA001;06C07 13C08 21C05;06 13 21;non;MISE À PLAT 1FISTULE RECT.VAG ACQUISE PÉRINÉOTOMIE
HJQE001;06K04 06K05;06;non;COLO.
HJQE002;06K04 06K05;06;non;RECTOSCOPIE AU TUBE RIGIDE
HJQJ001;06K04 06K05;06;non;ÉCHOENDOS ANORECT. +BIOPSIE TRANSANORECTALE GUIDÉE
HJQJ002;06K04 06K05;06;non;ÉCHOENDOS ANORECT. SANS BIOPSIE
HJSA001;06C04 13C08 17C06 21C05;06 13 17 21;non;FERM. 1FISTULE RECTOVAG HTE LAPARO
HJSD001;06C14 21C05;06 21;oui;HÉMOSTASE IIRE À 1ACTE SUR RECTUM
HKCA001;06C14 09C08 09C13 09C25;06 09;non;MYORRAPHIE RELEVEURS ANUS
HKCA002;06C14 09C08 09C13 09C25;06 09;non;MYORRAPHIE RÉTROANALE RELEVEURS ANUS
HKCA003;06C14 09C08 09C13 09C25 17C07;06 09 17;oui;SUTURE ANUS +RÉPAR. SPHINCT. ANUS
HKCA004;06C14 09C08 09C13 09C25;06 09;oui;SUTURE ANUS SANS RÉPAR. SPHINCT. ANUS
HKCA005;06C14;06;non;MYORRAPHIE PRÉANALE RELEVEURS ANUS
HKEA001;06C14 09C08 09C13 09C25 17C07;06 09 17;non;TRANSPOSITION POST. ANUS
HKFA001;06C14 09C08 09C13 09C25;06 09;non;DESTRUC. +/- EXÉRÈSE TB CANAL ANAL
HKFA002;06C14 09C08 09C13 09C25;06 09;oui;RÉSEC. 1FISSURE INFECTÉE
HKFA004;06C14 09C08 09C13 09C25;06 09;oui;EXCISION 1FISSURE
HKFA005;06C14 09C08 09C13 09C25;06 09;oui;EXCISION 1FISSURE +/- 1STÉNOSE ANALE +ANOPLAST.
HKFA006;06C14 09C08 09C13 09C25;06 09;oui;EXCISION 1FISSURE +ANOPLAST. +RÉSEC. 1PAQUET
HKFA007;06C14 09C08 09C13 09C25;06 09;non;EXÉRÈSE TM CANAL ANAL +/- ANUS
HKFA008;06C14 09C08 09C13 09C25;06 09;oui;DESTRUC. +/- EXÉRÈSE LÉS. SUPERF. NON T. ANUS
HKFA009;06C14 09C08 09C13 09C25;06 09;non;SPHINCTÉROMYECTOMIE ANUS AB. ANAL
HKGA001;06C14 17C07 21C05;06 17 21;non;ABL/CHANGT 1SPHINCTER ANAL ARTIF.
HKKA001;06C14 21C05;06 21;non;CHANGT 1STIMUL. ANUS/1LAMBEAU PLASTIE CE MUSC.
HKLA001;06C14;06;non;IMPLANT. 1STIMUL. ANUS/1LAMBEAU PLASTIE CE MUSC.
HKLA002;06C14 17C07;06 17;non;POSE 1SPHINCTER ANAL ARTIF.
HKMA001;06C14 09C08 09C13 09C25;06 09;non;PLASTIE CUT. MARGE ANUS
HKMA002;06C14 17C07;06 17;oui;SUTURE SPHINCT. ANUS PR INCONT. A. +MYORRAPHIE
HKMA003;06C14;06;oui;SUTURE SPHINCT. ANUS PR INCONT. A.
HKMA004;06C14 17C07;06 17;non;RECONSTR. SPHINCT. ANUS TRANSPOSITION MUSC. UNILAT.
HKMA005;06C14 17C07;06 17;non;RECONSTR. SPHINCT. ANUS TRANSPOSITION MUSC. BILAT.
HKMA006;06C14 09C08 09C13 09C25 17C06;06 09 17;non;ANOPLASTIE PR MALF. ANORECT. BASSE +TRANSPOSITION
HKND001;06C14 09C08 09C13 09C25;06 09;oui;DESTRUC. 1PAPILLOMATOSE EXTENSIVE ANUS
HKPA001;06C14 09C08 09C13 09C25;06 09;oui;MISE À PLAT FISTULE BASSE ANUS +HÉMOR.ECTOMIE SSMUQ
HKPA002;06C14 09C08 09C13 09C25;06 09;oui;MISE À PLAT FISTULE BASSE ANUS +RÉSEC. 1PAQUET
HKPA003;06C14 09C08 09C13 09C25;06 09;non;SPHINCTÉROTOMIE INT. LAT. ANUS
HKPA004;06C14 09C08 09C13 09C25;06 09;oui;MISE À PLAT ABCÈS +/- FISTULE BAS ANUS 1TEMPS FISTULOT.
HKPA005;06C14 09C08 09C13 09C25;06 09;oui;MISE À PLAT ABCÈS +/- FISTULE INTERSPHINCTÉRIEN HT ANUS
HKPA006;06C14 09C08 09C13 09C25;06 09;oui;INCISION ABCÈS RÉGION ANALE
HKPA007;06C14 09C08 09C13 09C25;06 09;oui;MISE À PLAT ABCÈS +/- FISTULE HT ANUS/TRAJET COMPLEX
HKPA008;06C14 09C08 09C13 09C25;06 09;oui;MISE À PLAT ABCÈS +/- FISTULE HT ANUS/TRAJET COMPLEX
HKPA009;06C14 09C08 09C13 09C25;06 09;non;SPHINCT.TOMIE AB SACRÉ
HKSD001;06C14 21C05;06 21;oui;HÉMOSTASE IIRE À 1ACTE SUR ANUS
HLCA001;07C11 17C06;07 17;non;HÉP-PORTO-STOM PR ATRÉSIE DES VBEH LAPARO
HLCA002;07C09 07C10 17C06;07 17;non;FENESTRATION KYSTES BIL. HÉPATIQUES LAPARO
HLCC001;07C09 07C10 17C07;07 17;non;FENESTRATION KYSTES BIL. HÉPATIQUES COELIO.
HLEA001;17C06 27C02;17 27;non;GREF. FOIE TOT.
HLEA002;17C06 27C02;17 27;non;GREF. FOIE RÉDUIT
HLFA002;07C09 07C10 17C06;07 17;non;RÉSEC. KYSTE HYD FOIE LAPARO
HLFA003;07C09 07C10 17C06 21C05;07 17 21;non;RÉSEC. LOBE CAUDÉ FOIE LAPARO
HLFA004;07C09 07C10 17C06 21C05;07 17 21;non;HÉPATECTOMIE DTE ÉLARGIE AU LOBE CAUDÉ LAPARO
HLFA005;07C09 07C10 17C06 21C05;07 17 21;non;LOBECTOMIE HÉP. DTE LAPARO
HLFA006;07C09 07C10 17C06 21C05;07 17 21;non;TRISEGMENTECTOMIE HÉP. LAPARO
HLFA007;07C09 07C10 17C06 21C05;07 17 21;non;HÉPATECTOMIE GCHE ÉLARGIE AU LOBE CAUDÉ LAPARO
HLFA009;07C09 07C10 17C06 21C05;07 17 21;non;BISEGMENTECTOMIE HÉP. LAPARO
HLFA010;07C09 07C10 17C06 21C05;07 17 21;non;HÉPATECTOMIE CTR LAPARO
HLFA011;07C09 07C10 17C06 21C05;07 17 21;non;LOBECTOMIE HÉP. GCHE LAPARO
HLFA012;07C09 07C10 17C06;07 17;non;KYSTECTOMIE/PÉRIKYSTECTOMIE HÉP. LAPARO
HLFA014;07C09 07C10 17C06 21C05;07 17 21;non;SÉQUESTRECTOMIE HÉP. LAPARO
HLFA015;07C09 07C10 17C06;07 17;non;PRÉLÈV. 1GREF. HÉP. SUJET VIVANT
HLFA017;07C09 07C10 17C06 21C05;07 17 21;non;HÉPATECTOMIE DTE LAPARO
HLFA018;07C09 07C10 17C06 21C05;07 17 21;non;HÉPATECTOMIE GCHE LAPARO
HLFA019;07C09 07C10 17C06 21C05;07 17 21;non;RÉSEC. ATYPIQUE FOIE LAPARO
HLFA020;07C09 07C10 17C06 21C05;07 17 21;non;UNISEGMENTECTOMIE HÉP. LAPARO
HLFC002;07C09 07C10 17C06 21C05;07 17 21;non;LOBECTOMIE HÉP. GCHE COELIO.
HLFC003;07C09 07C10 17C07 21C05;07 17 21;non;RÉSEC. ATYPIQUE FOIE COELIO.
HLFC004;07C09 07C10 17C06 21C05;07 17 21;non;UNISEGMENTECTOMIE HÉP. COELIO.
HLFC027;07C09 07C10 17C06 21C05;07 17 21;non;BISEGMENTECTOMIE HÉP. COELIO
HLFC032;07C09 07C10 17C06 21C05;07 17 21;non;TRISEGMENTECTOMIE HÉP. COELIO
HLFC037;07C09 07C10 17C06 21C05;07 17 21;non;HÉPATECTOMIE GCHE COELIO
HLFC801;07C09 07C10 17C06 21C05;07 17 21;non;HÉPATECTOMIE DTE  COELIO
HLJA001;07C09 07C10 17C06;07 17;non;ÉVAC. COLLECTION HÉP. LAPARO
HLJC001;07C09 07C10 17C07;07 17;non;ÉVAC. COLLECTION HÉP. COELIO.
HLNA007;07C09 07C10 17C06 21C05;07 17 21;non;DESTRUC. T. HÉP. RADIOFRÉQUENCE LAPARO
HLNC003;07C09 07C10 17C07 21C05;07 17 21;non;DESTRUC. T. HÉP. RADIOFRÉQUENCE COELIO
HLNK001;07K06;07;non;DESTRUC. TRANSCUT. T. HÉP. RADIOFRÉQUENCE GUID
HLNM001;07K06;07;non;DESTRUC. TRANSCUT. T. HÉP. RADIOFRÉQUENCE +GUID ÉCHO
HLNN900;07K06;07;non;DESTRUC. TRANSCUT. T. HÉP. RADIOFRÉQUENCE +GUID REMNO
HLSA001;07C09 07C10 17C07 21C05;07 17 21;non;HÉMOSTASE FOIE LAPARO
HLSC012;07C09 07C10 17C07 21C05;07 17 21;non;HÉMOSTASE FOIE COELIO
HMAE001;07C12 07K02 07K04 07K05;07;non;DILAT. AMPOULE HÉPATOPANCRÉATIQUE O-G-DSCOPIE
HMAE002;07C12 07K02 07K04 07K05;07;non;DILAT. CONDUIT BIL. O-G-DSCOPIE
HMCA001;07C11 17C06;07 17;non;CHOL.STOM PR ATRÉSIE DES VBEH LAPARO
HMCA002;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉDOCHODUODÉNOSTOMIE LAPARO
HMCA003;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOL.STOM LAPARO
HMCA004;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉDOCHODUODÉNOSTOMIE +GASTR.JÉJ.STOM
HMCA005;06C21 07C11 17C06 21C05;06 07 17 21;non;ANAST. BIL.DIG INTRAHÉP. PORTANT SUR 1CONDUIT BIL.
HMCA006;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉDOCHOJÉJUNOSTOMIE LAPARO
HMCA007;06C21 07C11 17C06 21C05;06 07 17 21;non;ANAST. BIL.DIG HTE MULT. LAPARO
HMCA008;06C21 07C11 17C06 21C05;06 07 17 21;non;ANAST. BIL.DIG PORTANT SUR CONVERGENCE DES
HMCA009;06C21 07C12 17C06 21C05;06 07 17 21;non;CHOLÉCYSTOSTOMIE CUT. LAPARO
HMCA010;06C21 07C11 21C05;06 07 21;non;CHOL.STOM +GASTR.JÉJ.STOM LAPARO
HMCA011;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉCYSTOJÉJUNOSTOMIE LAPARO
HMCC001;06C15 07C11 17C06 21C05;06 07 17 21;non;CHOLÉDOCHOJÉJUNOSTOMIE COELIO.
HMCC002;06C15 07C11 17C06 21C05;06 07 17 21;non;CHOLÉDOCHODUODÉNOSTOMIE COELIO.
HMCC003;06C15 07C11 17C07 21C05;06 07 17 21;non;CHOL.STOM COELIO.
HMCC013;06C15 21C05;06 21;non;CHOLÉDOCHODUODÉNOSTOMIE +GASTR.JÉJ.STOM COELIO
HMFA001;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉCYSTECTOMIE +CHOLÉDOCHOJÉJUNOSTOMIE LAPARO
HMFA002;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉCYSTECTOMIE
HMFA003;07C12 17C06 21C05;07 17 21;non;CHOLÉCYSTECTOMIE COELIO. +ABL. CALCUL VBP
HMFA004;07C12 17C06 21C05;07 17 21;non;CHOLÉCYSTECTOMIE +ABL. TRANSCYSTIQUE CALCUL VBP
HMFA005;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉCYSTECTOMIE COELIO. +CHOLÉDOCHOJÉJUNOSTOMIE
HMFA006;06C21 07C11 17C06 21C05;06 07 17 21;non;CHOLÉCYSTECTOMIE COELIO. +CHOLÉDOCHODUODÉNOSTOMIE
HMFA007;07C12 07C13 07C14 17C06 21C05;07 17 21;non;CHOLÉCYSTECTOMIE LAPARO HMFC004      /0 CHOLÉCYSTECTOMIE COELIO.
HMFA008;07C12 17C06 21C05;07 17 21;non;CHOLÉCYSTECTOMIE +ABL. CALCUL VBP
HMFA009;06C21 07C11 17C06;06 07 17;non;RÉSEC. VBP PÉD. +ANAST. BIL.DIG LAPARO
HMFA010;06C21 07C11 17C06 21C05;06 07 17 21;non;RÉSEC. VBP PÉD/INTRAPANCR. +ANAST. BIL.DIG LAPARO
HMFC001;07C12 17C07 21C05;07 17 21;non;CHOLÉCYSTECTOMIE +ABL. TRANSCYSTIQUE CALCUL VBP
HMFC002;07C12 17C06 21C05;07 17 21;non;CHOLÉCYSTECTOMIE +ABL. CALCUL VBP CHOLÉDOCHOTOMIE
HMFC003;06C15 07C11 17C06 21C05;06 07 17 21;non;CHOLÉCYSTECTOMIE
HMFC004;17C07 21C05;07 17 21;non;CHOLÉCYSTECTOMIE COELIO.
HMFC005;07C11 17C07 21C05;07 17 21;non;CHOLÉCYSTECTOMIE +CHOLÉDOCHOJÉJUNOSTOMIE COELIO.
HMGA001;07C12 17C06;07 17;non;ABL. CALCUL VBP CHOLÉDOCHOTOMIE LAPARO
HMGC001;07C12 17C06;07 17;non;ABL. CALCUL VBP CHOLÉDOCHOTOMIE COELIO.
HMGE001;07C12 07K02 07K04 07K05;07;non;ABL. ENDOPROTH. BIL. +/- PANCR. O-G-DSCOPIE
HMGE002;07C12 07K02 07K04 07K05;07;non;ABL. CALCUL VBP O-G-DSCOPIE
HMGH001;07C12 07K02 07K04 07K05;07;non;ABL. CALCUL VBP O-G-DSCOPIE +TRANSCUT. +GUID ÉCHO
HMJE127;07C12 07K02 07K04 07K05;07;non;DRAIN BIL + ENDOPROTH TRANSLUM APPOSITION
HMKE001;07C12 07K02 07K04 07K05;07;non;CHANGT 1ENDOPROTH. BIL. O-G-DSCOPIE
HMKE002;07C12 07K02 07K04 07K05;07;non;CHANGT PLUS. ENDOPROTH. BIL. O-G-DSCOPIE
HMLA001;07C12 17C06;07 17;non;STENT BIL. CHOLÉDOCHOTOMIE LAPARO
HMLC001;07C12 17C06;07 17;non;STENT BIL. CHOLÉDOCHOTOMIE COELIO.
HMLE002;07C12 07K02 07K04 07K05;07;non;POSE 1ENDOPROTH. BIL. O-G-DSCOPIE
HMLE003;07C12 07K02 07K04 07K05;07;non;POSE PLUS. ENDOPROTH. BIL. O-G-DSCOPIE
HMLH001;07C12 07K02 07K04 07K05;07;non;POSE 1ENDOPROTH. BIL. O-G-DSCOPIE +TRANSCUT. +GUID
HMNE001;07C12 07K02 07K04 07K05;07;non;LITHOTRITIE MÉC. DES VB O-G-DSCOPIE
HMNE002;07C12 07K02 07K04 07K05;07;non;LITHOTRITIE VB CHOLANGIOSCOPIE RÉTROGRADE
HMPE001;07C12 07K02 07K04 07K05;07;non;SPHINCTÉROTOMIE BIL.O-G-DSCOPIE
HMQE001;07K04 07K05;07;non;CHOLANGIOSCOPIE 1ORIFICE DRAINAGE BIL. EXT. DÉJÀ
HMQG002;07K04 07K05;07;non;CHOLANGIOSCOPIE TRANSCUT. +GUID ÉCHO +/-RADIO
HMQH001;07K04 07K05;07;non;CHOLANGIOSCOPIE INCIS. BUCC.
HMQH002;07K04 07K05;07;non;CHOLANGIOPANCRÉATOGRAPHIE RÉTROGRADE +MANO
HMQH003;07K04 07K05;07;non;O-G-DSCOPIE +CHOLANGIO +INFUNDIBULOTOMIE/COUPE
HMQH005;07K04 07K05;07;non;CHOLANGIOPANCRÉATOGRAPHIE RÉTROGRADE SANS MANO
HMQH007;07K04 07K05;07;non;CHOLANGIOGRAPHIE RÉTROGRADE O-G-DSCOPIE
HMQJ001;07K04 07K05;07;non;ÉCHOENDOS BIL.PANCR. SANS BIOPSIE
HMQJ002;07K04 07K05;07;non;ÉCHOENDOS BIL.PANCR. +BIOPSIE TRANSBILIOPANCRÉATIQUE
HNAE001;07C12 07K02 07K04 07K05;07;non;DILAT. CONDUIT PANCR. O-G-DSCOPIE
HNCA001;07C09 07C10;07;non;ANAST. ENTRE 1FAUX KYSTE PANCRÉAS +DUOD. LAPARO
HNCA002;07C09 07C10 17C06 21C05;07 17 21;non;ANAST. PANCR.JÉJ +ANAST. BIL.JÉJ LAPARO
HNCA003;06C05 06C16 06C20 06C22 07C09 07C10 17C06 21C05;06 07 17 21;non;ANAST. PANCR.JÉJ +ANAST. BIL.JÉJ +GASTR.JÉJ.STOM
HNCA004;06C05 06C16 06C20 06C22 07C09 07C10 17C06 21C05;06 07 17 21;non;ANAST. PANCR.JÉJ +GASTR.JÉJ.STOM LAPARO
HNCA005;07C09 07C10 17C06;07 17;non;ANAST. ENTRE 1FAUX KYSTE PANCRÉAS +JÉJUNUM
HNCA006;07C09 07C10 17C07 21C05;07 17 21;non;SUTURE PANCRÉAS +RECONSTR. CONDUIT PANCR.
HNCA007;07C09 07C10 17C06 21C05;07 17 21;non;ANAST. PANCR.JÉJ LAPARO
HNCA008;07C09 07C10 17C06 21C05;07 17 21;non;ANAST. ENTRE 1FAUX KYSTE PANCRÉAS +ESTOMAC
HNCC021;07C09 07C10 17C06 21C05;07 17 21;non;ANAST. ENTRE 1FAUX KYSTE PANCRÉAS +ESTOMAC
HNCC033;07C09 07C10 17C07;07 17;non;ANAST. ENTRE 1FAUX KYSTE PANCRÉAS +JÉJUNUM COELIO
HNCE001;07C12 07K02 07K04 07K05;07;non;ANAST. F.KYSTE PANCR-ESTOM/DUOD O-G-DSCOPIE SANS GUID
HNCJ001;07C12 07K02 07K04 07K05;07;non;ANASTOMOSE ENTRE CAVITÉ COLLECTÉE PANCRÉAS ET
HNEA002;17C06 27C03;17 27;non;GREF. PANCRÉAS +REIN LAPARO
